genes	control	control	infected	infected	infected
AGPS	492.067534542291	281.943037386127	450.695381584236	279.842778443024	186.051979810342
CXorf56	364.345493735011	208.761334472409	545.138206725276	338.483589224303	225.039010328844
TTC27	157.225995302463	90.0867697212883	147.21537774956	91.4079931197974	60.772117061763
PHLDB1	18.3555629429474	10.517302617578	35.9201606148681	22.3033071988683	14.8282349244633
CYP24A1	3966.3671735722	2272.63440443348	660.385577245498	410.042219936838	272.61438458241
PRDM11	77.6869733124739	44.5127948573721	40.5021614460169	25.1483326768524	16.7197349507811
SYT13	47.7370186897594	27.3521805450311	55.3588006799843	34.3730182881072	22.8527180159537
SNAI2	48.2751776540969	27.6605328795191	131.475067107059	81.6346241354727	54.2743447802431
HGF	380.214723743826	217.854027234239	14.5886089864817	9.05826205284263	6.02233724932586
ZRANB1	1773.52690350113	1016.18889066566	2142.43285826488	1330.26515953418	884.419701594861
NCDN	161.739917273743	92.6731400500891	97.0512685850061	60.260428133924	40.0638244835683
ADGRA2	36.4891947939125	20.9074439782727	161.232330762635	100.111306348116	66.5584684768232
ZFP64	83.5236009764149	47.857044205572	130.863048472677	81.2546135959763	54.021696798346
MNAT1	1609.33248993785	922.109382402788	785.604753214119	487.79247775894	324.306229121152
SAMD4A	146.64112020992	84.0218871097572	364.112130681493	226.082082218263	150.309467445902
RUNX3	840.146335269516	481.383942216477	696.157962282576	432.253771306904	287.381616133111
MRE11A	680.209088929845	389.743689895981	293.713834351098	182.370840329109	121.248281237369
SERPINB1	5981.78034631726	3427.41839570067	9985.57932623487	6200.1794941724	4122.15629250239
SLC7A9	63.4648147500028	36.3638350057126	17.3895043297441	10.7973753586669	7.17857746200296
SPAST	221.325155047582	126.814069377925	128.56272481544	79.8263119317862	53.0720980491216
NRXN3	70.224471367135	40.2369580722328	54.1871809502028	33.6455439587536	22.3690605851975
OSBPL5	144.312861244603	82.6878498924602	110.865715939924	68.8380028959865	45.7665793494684
AQR	1115.58972002647	639.206474846122	967.306934881141	600.61378777131	399.31487579549
CPS1	1015.44344326724	581.825031303678	322.030794792448	199.953219050439	132.937832023989
FHL1	169.110905902603	96.8965418733628	384.499051767309	238.740593651194	158.725411307852
RTFDC1	1317.02361271064	754.623322228087	1153.41434397204	716.170362293464	476.142048501415
NLRP2	490.227261971336	280.888604809598	634.87718598483	394.203719309418	262.084241852431
SLC45A4	170.24677271849	97.5473666436558	176.51367655411	109.599697930038	72.8667750511584
RNF10	743.540327777367	426.030989074752	700.321361457868	434.838881429146	289.100312820397
ZNF839	198.053875601201	113.480177685442	134.003681412861	83.2046745106485	55.3181844045087
ZDHHC6	626.796763779581	359.139693229693	862.980166918658	535.835904958359	356.247645644594
GRAMD1B	3201.00938131155	1834.10252519088	1486.23194508608	922.821253374514	613.532792079345
RNH1	1887.05697908845	1081.23893379753	1876.26457664254	1164.99772058067	774.542525608539
NDUFS1	1407.10463472295	806.237613304253	640.905849440057	397.94699692118	264.572940022606
RB1CC1	3547.13867791966	2032.42641035592	2798.0338623739	1737.33657414466	1155.05896208911
ERP44	3034.27663718734	1738.56861366422	4663.63918595001	2895.71582221348	1925.20123152165
ALAS1	321.558557953873	184.245434138118	709.6723056676	440.645007508181	292.960484799975
BIRC3	2062.61974337203	1181.8322376416	10323.6471026958	6410.09028920727	4261.71436585018
AKAP11	504.433412517497	289.028392447234	317.890703913692	197.382581360643	131.228757256284
GLRX2	642.029287723196	367.867568503388	502.157771581792	311.796463327951	207.296216907163
