geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
EPHX2,,,,,,,,yes
EPHX3,,,,yes,,,,
EPPK1,,,,yes,,,,
ERBB2,,,,,yes,,,yes
EREG,,,,yes,yes,,,
ERG,,,,,yes,,,
ERN1,,yes,,,,,,
ERV3-1,,,,,yes,yes,,
ERVK-10,,,,,yes,,,
ERVK-18,,,,,yes,,,
ERVK-19,,,,,yes,,,
ERVK-21,,,,,yes,,,
ERVK-24,,,,,yes,,,
ERVK-25,,,,,yes,,,
ERVK-7,,,,,yes,,,
ERVK-8,,,,,yes,,,
ERVK-9,,,,,yes,,,
ERVW-1,,,,,yes,,,
ERVW-4,,,,,yes,,,
ESR1,,,,,yes,yes,,yes
ESR2,,,,,yes,,,
ETFA,,,,,yes,,,
ETS1,,,,,yes,,,
ETS2,,,,yes,yes,,,
EXOC4,,,,,yes,,,
EXOG,,yes,,,,,,
EXOSC3,,,,,,,,yes
EXPH5,,,,yes,,,,
EXT1,,,,,yes,,,
EXTL2,,yes,,,,,,
EZH2,,,,,yes,,,
F13A1,,,,,yes,,,
F13B,,,,,yes,,,
F2,,,,,yes,,,
F2R,,,,,yes,,,
F2RL1,yes,,,yes,yes,,,
F3,yes,,,,yes,,,
F5,yes,,,,,,,
F9,,,,,yes,yes,,
FABP3,,,,yes,yes,,,
FADD,,,,,yes,,,
FADS2,,,,,yes,,,
FAHD1,,yes,,,,,,
FAM107A,,,,,yes,,,
FAM118B,,yes,,,,,,
FAM131C,,,,yes,,,,
FAM151A,,yes,,,,,,
FAM162B,,yes,,,,,,
FAM167A,,,,,yes,,,
FAM168A,,yes,,,,,,
FAM173B,,yes,,,,,,
FAM188B,,,,yes,,,,
FAM215A,,,,,yes,,,
FAM46C,,,,yes,,,,
FAM47E-STBD1,,,,yes,,,,
FAM47E-STBD1,,,,yes,,,,
FAM86B3P,,,,yes,,,,
FAS,,,yes,,yes,yes,yes,yes
FASLG,,,yes,,yes,yes,yes,
FAT1,,,,,yes,,,
FAT3,,,,yes,,,,
FBN1,,,,,,,,yes
FBXO33,,yes,,,,,,
FCAR,,,,,yes,,,yes
FCER2,,,,,yes,,,
FCGR1A,,,,,yes,,yes,
FCGR2A,yes,,,,yes,yes,yes,
FCGR2B,,,,,yes,,yes,
